"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Canales de contacto de tecfix.co","","0","0","8","0","0"
"","Sección de Preguntas Frecuentes de tecfix.co","","0","0","8","0","0"
"","Navegación principal de tecfix.co","","0","0","12","0","0"
